City,AQI,Pop,lat,lng
Kuwait City   Kuwait,190,3.3,29.378586,47.990341
Beijng   China,157,21.8,39.9075,116.39723
Jakarta   Indonesia,153,11.2,-6.121435,106.774124
Denver  USA,153,0.75,39.7392,-104.9847
Hanoi  Vietnam,151,7,21.0245,105.84117
Delhi  India,139,32.9,28.652,77.2315
Dhaka  Bangladesh,126,23.2,23.7104,90.40744
Chongqing  China,126,17.3,29.439325,106.887703
Wuhan  China,118,10.2,30.593099,114.305393
Hong Kong,117,7.5,22.396428,114.109497
Guangzhou  China,114,14.3,23.11667,113.25
Kolkata  India,102,4.5,22.572645,88.363892
Mexico City  Mexico,102,22.2,19.434167,-99.138611
Kathmandu  Nepal,99,1.6,27.717245,85.32396
Shenzhen  China,95,10.4,22.54554,114.0683
Santiago  Chlie,91,6.9,-33.44787,-70.673676
Chiang Mai  Thailand,90,1.2,18.796143,98.979263
Karachi  Pakistan,88,17.2,24.8608,67.0104
Yangon Myanmar,88,5.6,16.80528,96.15611
Shenyang  China,88,7.7,41.799999,123.400002
Ho Chi Minh City  Vietnam,88,8,10.762622,106.660172
Hangzhou  China,87,8.2,30.29365,120.16142
Tehran  Iran,86,9.5,35.69439,51.42151
Los Angeles USA,86,3.9,34.052235,-118.243683
Mumbai  India,83,21.3,19.07283,72.88261
